"address","zipCode","city","state","price","bed","bath","sqft","pricePerSf","lotArea","lotAreaType","zillowUrl","latitude","longitude","homeType","zestimate","rentZestimate","imageUrl"
"7 Kay Cres #412, Guelph, ON N1L 0P9","N1L0P9","Guelph","ON","499900","2","2","","","","","https://zillow.com/homedetails/7-Kay-Cres-412-Guelph-ON-N1L-0P9/2064553058_zpid/","43.504593","-80.181465","APARTMENT","","","https://photos.zillowstatic.com/fp/5bd42ab4df4e5d5654a19eedb918136b-p_e.jpg"
"24 Marilyn Dr #204, Guelph, ON N1H 8E9","N1H8E9","Guelph","ON","549000","2","2","1420","386.62","","","https://zillow.com/homedetails/24-Marilyn-Dr-204-Guelph-ON-N1H-8E9/2058036640_zpid/","43.56396","-80.27209","CONDO","","","https://photos.zillowstatic.com/fp/e17fdff01f53f94f7bf574297c8dbc67-p_e.jpg"
"48 Macalister Blvd, Guelph, ON N1G 0G6","N1G0G6","Guelph","ON","1695000","4","2","","","5450","sqft","https://zillow.com/homedetails/48-Macalister-Blvd-Guelph-ON-N1G-0G6/351890363_zpid/","43.525337","-80.19906","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/861f308eb6e5ac92978f570fe64df059-p_e.jpg"
"160 Macdonell St #1109, Guelph, ON N1H 0A9","N1H0A9","Guelph","ON","989000","2","2","1565","631.95","","","https://zillow.com/homedetails/160-Macdonell-St-1109-Guelph-ON-N1H-0A9/447645429_zpid/","43.54677","-80.244705","CONDO","","","https://photos.zillowstatic.com/fp/aa6f236b1224c3f2c82ad380d47cc7e7-p_e.jpg"
"55 Ralston Dr, Guelph, ON N1E 0C3","N1E0C3","Guelph","ON","725000","3","3","","","3621.1","sqft","https://zillow.com/homedetails/55-Ralston-Dr-Guelph-ON-N1E-0C3/448334861_zpid/","43.56779","-80.22233","TOWNHOUSE","","","https://photos.zillowstatic.com/fp/bf9ba165168ea1f178ffa2497b5b1107-p_e.jpg"
"27 Wilsonview Ave #4, Guelph, ON N1G 2W5","N1G2W5","Guelph","ON","769000","4","4","1950","394.36","","","https://zillow.com/homedetails/27-Wilsonview-Ave-4-Guelph-ON-N1G-2W5/448896897_zpid/","43.522045","-80.23967","TOWNHOUSE","","","https://photos.zillowstatic.com/fp/c4ab4a51c38222997d78e3cb5aa464cc-p_e.jpg"
"25 Nicklin Cres, Guelph, ON N1H 5E8","N1H5E8","Guelph","ON","849900","4","2","1155","735.84","5570","sqft","https://zillow.com/homedetails/25-Nicklin-Cres-Guelph-ON-N1H-5E8/402446968_zpid/","43.555504","-80.277504","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/281af94f1fd65afdc1361dd5f6f48198-p_e.jpg"
"45 Toronto St, Guelph, ON N1E 3E3","N1E3E3","Guelph","ON","825000","4","2","","","5967","sqft","https://zillow.com/homedetails/45-Toronto-St-Guelph-ON-N1E-3E3/449346502_zpid/","43.543793","-80.23648","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/60b38cd1f11302f3a607e86ab4e50918-p_e.jpg"
"25 Manor Park Cres #11, Guelph, ON N1G 1A2","N1G1A2","Guelph","ON","1299900","3","4","","","","","https://zillow.com/homedetails/25-Manor-Park-Cres-11-Guelph-ON-N1G-1A2/2064645559_zpid/","43.531433","-80.25369","CONDO","","","https://photos.zillowstatic.com/fp/8817c425cf8a7b7ce87b4a5ad42182eb-p_e.jpg"
"85 Ontario St, Guelph, ON N1E 3A9","N1E3A9","Guelph","ON","1199000","4","3","3122","384.05","8712","sqft","https://zillow.com/homedetails/85-Ontario-St-Guelph-ON-N1E-3A9/448960462_zpid/","43.544697","-80.23679","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/b5b6bad2fbb42548a652abeeb23062fc-p_e.jpg"
"14 Upton Cres, Guelph, ON N1E 6P2","N1E6P2","Guelph","ON","664900","3","2","","","3150","sqft","https://zillow.com/homedetails/14-Upton-Cres-Guelph-ON-N1E-6P2/448365295_zpid/","43.561657","-80.23047","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/18d9f9c152069e67b2b7884fdbb341a3-p_e.jpg"
"35 Queen St, Guelph, ON N1E 4R5","N1E4R5","Guelph","ON","1799000","7","4","","","0.45583837924701565","acres","https://zillow.com/homedetails/35-Queen-St-Guelph-ON-N1E-4R5/351054586_zpid/","43.550175","-80.24581","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/f798268582658c88d4926d822a05dafe-p_e.jpg"
"112 Stephen Dr, Guelph, ON N1H 7R2","N1H7R2","Guelph","ON","754900","3","3","","","3543.6","sqft","https://zillow.com/homedetails/112-Stephen-Dr-Guelph-ON-N1H-7R2/447227988_zpid/","43.536327","-80.29151","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/6469db86e731372ac61b45143693e9e5-p_e.jpg"
"16 Hadati Rd #26, Guelph, ON N1E 6M2","N1E6M2","Guelph","ON","599000","3","3","","","","","https://zillow.com/homedetails/16-Hadati-Rd-26-Guelph-ON-N1E-6M2/2063086859_zpid/","43.565067","-80.239876","TOWNHOUSE","","","https://photos.zillowstatic.com/fp/ea14584a53d3ee2fd468388ac37d76f3-p_e.jpg"
"16 Darnell Rd, Guelph, ON N1G 5K3","N1G5K3","Guelph","ON","959000","4","4","","","3131.77","sqft","https://zillow.com/homedetails/16-Darnell-Rd-Guelph-ON-N1G-5K3/448729678_zpid/","43.514557","-80.2114","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/32ba99a033b25b7ec4802580b2e45a27-p_e.jpg"
